team_name,opponent_name,team_city,opponent_city,distance
Crato,Sintrense,Crato,Sintra,160
Cruzado Canicense,Pedras Rubras,Caniço,Maia,1198
Culatrense,Louletano,Faro,Loulé,23
Câmara de Lobos,Felgueiras 1932,Câmara de Lobos,Felgueiras,1232
Câmara de Lobos,Freamunde,Câmara de Lobos,Freamunde,1227
Câmara de Lobos,Leça,Câmara de Lobos,Leça da Palmeira,1200
Câmara de Lobos,Vizela,Câmara de Lobos,Vizela,1236
Damaiense,Lusitânia,Amadora,Angra do Heroísmo,1564
Desportos de Glória,Sintrense,Glória do Ribatejo,Sintra,70
Dumiense,AVS,Braga,,7836
Dumiense,Brito,Braga,Guimarães,14
Dumiense,Real,Braga,Queluz,320
Dumiense,União Santarém,Braga,Santarém,232
Eirense,Gouveia,Coimbra,Gouveia,81
Eirense,Torreense,Coimbra,Torres Vedras,131
Eléctrico,Arouca,Ponte de Sor,Arouca,188
Eléctrico,Benfica Castelo Branco,Ponte de Sor,Castelo Branco,75
Esmoriz,Vilaverdense,Esmoriz,Vila Verde,78
Espinho,Academico Viseu,Espinho,Viseu,73
Espinho,Aliança de Gandra,Espinho,Paredes,28
Espinho,Arouca,Espinho,Arouca,35
Espinho,Boavista,Espinho,Porto,17
Espinho,Caldas,Espinho,Caldas da Rainha,183
Espinho,Castro Daire,Espinho,Castro Daire,62
Espinho,Chaves,Espinho,Chaves,121
Espinho,Gondomar,Espinho,Gondomar,85
Espinho,Merelinense,Espinho,Braga,65
Espinho,Moncarapachense,Espinho,Moncarapacho,442
Espinho,Nacional,Espinho,Funchal,1183
Espinho,Sintrense,Espinho,Sintra,253
Espinho,Vilafranquense,Espinho,Vila Franca de Xira,229
Esposende,Torcatense,Esposende,Guimarães,44
Estarreja,Nacional,Estarreja,Funchal,1166
Estarreja,Pampilhosa,Estarreja,Pampilhosa,47
Estarreja,Ponte da Barca,Estarreja,Ponte da Barca,118
Estarreja,Águias do Moradal,Estarreja,Estreito,114
Estoril,Academica,Estoril,Coimbra,186
Estoril,Benfica,Estoril,Lisbon,17
Estoril,Boavista,Estoril,Porto,279
Estoril,Cova De Piedade,Estoril,Cova da Piedade,21
Estoril,Lusitano GC Évora,Estoril,Évora,129
Estoril,Mafra,Estoril,Mafra,23
Estoril,Tondela,Estoril,Tondela,229
