Team_name,Opponent_name,Distance
RB Leipzig,1899 Hoffenheim,339
RB Leipzig,Bayern Munich,357
RB Leipzig,Borussia Dortmund,243
RB Leipzig,Erzgebirge AUE,85
RB Leipzig,FC Augsburg,347
RB Leipzig,Hansa Rostock,305
RB Leipzig,SC Paderborn 07,255
RB Leipzig,Union Berlin,150
RB Leipzig,VfL Wolfsburg,161
RB Leipzig,Vfl Bochum,355
Reutlingen,Eintracht Braunschweig,433
Reutlingen,Karlsruher SC,83
Rostocker FC,FC Heidenheim,616
Rot Weiss Ahlen,SC Paderborn 07,458
Rot-weiss Erfurt,1899 Hoffenheim,244
Rot-weiss Essen,Arminia Bielefeld,121
Rot-weiss Essen,Bayer Leverkusen,48
Rot-weiss Essen,Borussia Monchengladbach,54
Rot-weiss Essen,Fortuna Dusseldorf,32
Rot-weiss Essen,Hamburger SV,505
Rot-weiss Essen,Hertha Berlin,439
Rot-weiss Essen,Holstein Kiel,381
Rot-weiss Essen,Union Berlin,459
Rot-weiss Oberhausen,FC Augsburg,453
Rot-weiss Oberhausen,SV Sandhausen,272
Roßbach / Verscheid,FSV Mainz 05,84
SC Freiburg,1.FC Köln,332
SC Freiburg,Bayer Leverkusen,344
SC Freiburg,Dynamo Dresden,543
SC Freiburg,FC Augsburg,227
SC Freiburg,FC St. Pauli,636
SC Freiburg,RB Leipzig,492
SC Freiburg,SC Paderborn 07,420
SC Freiburg,SV Sandhausen,159
SC Freiburg,Union Berlin,641
SC Paderborn 07,Bayern Munich,443
SC Paderborn 07,FC Ingolstadt 04,382
SC Paderborn 07,FC St. Pauli,220
SC Paderborn 07,Hamburger SV,457
SC Paderborn 07,SV Sandhausen,266
SC Paderborn 07,VfB Stuttgart,327
SC Paderborn 07,Vfl Bochum,106
SC Paderborn 07,Werder Bremen,149
SF Baumberg,FC Ingolstadt 04,605
SG Sonnenhof Grossaspach,FSV Frankfurt,137
SG Wattenscheid 09,FC Heidenheim,380
SSV Jeddeloh,FC Heidenheim,517
SSV ULM 1846,Eintracht Frankfurt,214
SSV ULM 1846,Erzgebirge AUE,313
SSV ULM 1846,FC Heidenheim,31
SSV ULM 1846,FC Nurnberg,141
SSV ULM 1846,FC Schalke 04,410
SSV ULM 1846,Fortuna Dusseldorf,396
SV Babelsberg 03,MSV Duisburg,453
SV Babelsberg 03,RB Leipzig,128
SV Babelsberg 03,SC Freiburg,615
SV Babelsberg 03,SpVgg Greuther Furth,354
SV Darmstadt 98,Borussia Monchengladbach,213
SV Darmstadt 98,FC Schalke 04,219
SV Darmstadt 98,Hannover 96,289
SV Darmstadt 98,Hertha Berlin,435
SV Darmstadt 98,Karlsruher SC,96
SV Darmstadt 98,VfL Wolfsburg,322
SV Drochtersen/assel,Bayern Munich,633
SV Drochtersen/assel,Borussia Monchengladbach,345
SV Drochtersen/assel,FC Schalke 04,286
SV Eichede,FC Kaiserslautern,509
SV Elversberg,Bayer Leverkusen,190
SV Elversberg,Borussia Monchengladbach,213
SV Elversberg,FC Augsburg,296
SV Elversberg,FC St. Pauli,511
SV Elversberg,FSV Mainz 05,111
SV Elversberg,VfL Wolfsburg,433
SV Elversberg,Vfl Bochum,244
SV Linx,FC Nurnberg,252
SV Meppen,1.FC Köln,201
SV Meppen,Hertha Berlin,403
SV Rodinghausen,1899 Hoffenheim,331
SV Rodinghausen,Bayern Munich,501
SV Rodinghausen,Dynamo Dresden,385
SV Rodinghausen,SC Paderborn 07,59
SV Sandhausen,Bayer Leverkusen,222
SV Sandhausen,Borussia Dortmund,217
SV Sandhausen,Borussia Monchengladbach,258
SV Sandhausen,Energie Cottbus,485
SV Sandhausen,FC Heidenheim,132
SV Sandhausen,FC Nurnberg,180
SV Sandhausen,Hannover 96,347
SV Sandhausen,Karlsruher SC,39
SV Sandhausen,RB Leipzig,345
SV Wehen,1.FC Köln,134
SV Wehen,Borussia Dortmund,141
SV Wehen,Erzgebirge Aue,321
SV Wehen,FC Heidenheim,207
SV Wehen,FC Kaiserslautern,78
SV Wehen,FC Schalke 04,186
SV Wehen,FC St. Pauli,405
SV Wehen,Hamburger SV,343
SV Wehen,Jahn Regensburg,301
SV Wehen,RB Leipzig,321
SV Wehen,VfB Stuttgart,157
Salmrohr,Holstein Kiel,539
Salmrohr,Vfl Bochum,177
Sc Hauenstein,Bayer Leverkusen,212
Schott Jena,Hamburger SV,304
Schott Mainz,Borussia Dortmund,149
Schott Mainz,Hannover 96,284
Schwarz-Weiß Rehden,Bayern Munich,539
Schwarz-Weiß Rehden,SV Sandhausen,365
Schwarz-Weiß Rehden,VfR Aalen,435
Schönberg,VfL Wolfsburg,141
SpVgg Greuther Furth,Borussia Dortmund,250
SpVgg Greuther Furth,Borussia Monchengladbach,373
SpVgg Greuther Furth,FC Ingolstadt 04,88
SpVgg Greuther Furth,FSV Mainz 05,206
SpVgg Greuther Furth,SC Paderborn 07,295
SpVgg Unterhaching,1.FC Köln,465
SpVgg Unterhaching,Bayer Leverkusen,469
SpVgg Unterhaching,FC Augsburg,63
SpVgg Unterhaching,FC Heidenheim,128
SpVgg Unterhaching,FC Ingolstadt 04,79
SpVgg Unterhaching,FSV Mainz 05,327
SpVgg Unterhaching,Fortuna Dusseldorf,500
SpVgg Unterhaching,RB Leipzig,368
SpVgg Unterhaching,SC Freiburg,277
SpVgg Unterhaching,Vfl Bochum,495
Sportfreunde Dorfmerkingen,RB Leipzig,319
Sportfreunde Lotte,Bayer Leverkusen,153
Sportfreunde Lotte,Borussia Dortmund,128
Sportfreunde Lotte,Karlsruher SC,363
Sportfreunde Lotte,TSV 1860 Munich,532
Sportfreunde Lotte,Werder Bremen,108
Sportfreunde Siegen,FSV Frankfurt,95
Straelen,FC St. Pauli,344
Stuttgarter Kickers,Borussia Dortmund,284
Stuttgarter Kickers,Eintracht Frankfurt,159
Stuttgarter Kickers,SpVgg Greuther Furth,158
Stuttgarter Kickers,VfL Wolfsburg,428
Sv Morlautern,SpVgg Greuther Furth,234
TSV 1860 Munich,1899 Hoffenheim,239
TSV 1860 Munich,Borussia Dortmund,404
TSV 1860 Munich,Eintracht Frankfurt,306
TSV 1860 Munich,FC Ingolstadt 04,74
TSV 1860 Munich,FC Schalke 04,503
TSV 1860 Munich,Karlsruher SC,254
TSV 1860 Munich,SC Freiburg,274
TSV 1860 Munich,SV Darmstadt 98,290
TSV Steinbach,FC Augsburg,130
TSV Steinbach,SV Sandhausen,70
Teningen,FC Schalke 04,385
Teutonia Ottensen,Bayer Leverkusen,156
Teutonia Ottensen,RB Leipzig,232
Todesfelde,VfL Osnabruck,229
TuS Erndtebruck,Eintracht Frankfurt,100
TuS Erndtebruck,Hamburger SV,411
TuS Erndtebruck,SV Darmstadt 98,127
TuS Koblenz,Dynamo Dresden,443
TuS RW Koblenz,FC Kaiserslautern,102
TuS RW Koblenz,Fortuna Dusseldorf,118
TuS RW Koblenz,Jahn Regensburg,357
Tus Dassendorf,Dynamo Dresden,357
Tus Dassendorf,MSV Duisburg,342
Türkgücü-Ataspor,Union Berlin,502
Union Berlin,FC Kaiserslautern,527
Union Berlin,FC St. Pauli,271
Union Berlin,SC Paderborn 07,342
Union Berlin,VfL Wolfsburg,188
Union Fürstenwalde,VfL Wolfsburg,282
Verl,FC Augsburg,426
Verl,Holstein Kiel,294
Verl,Union Berlin,352
VfB Lubeck,1899 Hoffenheim,527
VfB Lubeck,Eintracht Braunschweig,176
VfB Lubeck,FC St. Pauli,59
VfB Lubeck,FSV Mainz 05,462
VfB Lubeck,Hansa Rostock,95
VfB Lubeck,SC Paderborn 07,273
VfB Oldenburg,Hamburger SV,610
VfB Stuttgart,1.FC Köln,287
VfB Stuttgart,Arminia Bielefeld,361
VfB Stuttgart,Bayern Munich,185
VfB Stuttgart,Borussia Dortmund,277
VfB Stuttgart,Eintracht Braunschweig,399
VfB Stuttgart,Eintracht Frankfurt,152
VfB Stuttgart,FC St. Pauli,531
VfB Stuttgart,FSV Frankfurt,152
VfB Stuttgart,Hamburger SV,216
VfB Stuttgart,SC Freiburg,133
VfB Stuttgart,Union Berlin,510
VfB Stuttgart,Vfl Bochum,332
VfL Oldenburg,Fortuna Dusseldorf,235
VfL Osnabruck,Erzgebirge AUE,371
VfL Osnabruck,FC Nurnberg,383
VfL Osnabruck,Hamburger SV,533
VfL Osnabruck,RB Leipzig,312
VfL Osnabruck,SC Freiburg,477
VfL Osnabruck,TSV 1860 Munich,527
VfL Osnabruck,Union Berlin,375
VfL Osnabruck,Werder Bremen,102
VfL Wolfsburg,Bayer Leverkusen,307
VfL Wolfsburg,FC Heidenheim,422
VfL Wolfsburg,FC Ingolstadt 04,411
VfL Wolfsburg,FSV Frankfurt,295
VfL Wolfsburg,Hannover 96,73
VfL Wolfsburg,SC Freiburg,536
VfL Wolfsburg,SV Sandhausen,377
VfL Wolfsburg,VfR Aalen,403
VfR Aalen,1899 Hoffenheim,102
VfR Aalen,Borussia Dortmund,285
VfR Aalen,FC Ingolstadt 04,100
VfR Aalen,FC Nurnberg,102
VfR Aalen,Hannover 96,394
VfR Neumünster,Hertha Berlin,280
Vfl Bochum,Bayern Munich,482
Vfl Bochum,Borussia Dortmund,116
