team_name,opponent_name,Distance,distance
Fortuna Dusseldorf,TSV 1860 Munich,,487.0
Fortuna Koln,FSV Mainz 05,,137.0
Germania Egestorf,1899 Hoffenheim,,240.0
Germania Halberstadt,SC Freiburg,,490.0
Germania Halberstadt,Union Berlin,,183.0
Germania Windeck,1899 Hoffenheim,,194.0
Greifswalder FC,FC Augsburg,,660.0
Hallescher FC,Eintracht Braunschweig,,135.0
Hallescher FC,Eintracht Frankfurt,,272.0
Hallescher FC,FC Kaiserslautern,,373.0
Hallescher FC,Hamburger SV,,363.0
Hallescher FC,MSV Duisburg,,363.0
Hallescher FC,SpVgg Greuther Furth,,229.0
Hallescher FC,VfL Wolfsburg,,134.0
Hamburger SV,1.FC Köln,,476.0
Hamburger SV,Bayern Munich,,35.0
Hamburger SV,Borussia Monchengladbach,,519.0
Hamburger SV,FC Nurnberg,,151.0
Hamburger SV,RB Leipzig,,350.0
Hamburger SV,SC Freiburg,,307.0
Hamburger SV,SpVgg Greuther Furth,,162.0
Hannover 96,Borussia Monchengladbach,,263.0
Hannover 96,Dynamo Dresden,,320.0
Hannover 96,Eintracht Frankfurt,,259.0
Hannover 96,FSV Mainz 05,,284.0
Hannover 96,Fortuna Dusseldorf,,238.0
Hannover 96,RB Leipzig,,213.0
Hannover 96,Werder Bremen,,98.0
Hansa Rostock,FC Heidenheim,,618.0
Hansa Rostock,FC Kaiserslautern,,596.0
Hansa Rostock,FC Nurnberg,,521.0
Hansa Rostock,Fortuna Dusseldorf,,478.0
Hansa Rostock,Hertha Berlin,,191.0
Hansa Rostock,VfB Stuttgart,,621.0
Hansa Rostock,Vfl Bochum,,435.0
Havelse,FC Nurnberg,,347.0
Havelse,FSV Mainz 05,,284.0
Havelse,Vfl Bochum,,192.0
Hennef 05,TSV 1860 Munich,,429.0
Hertha Berlin,1.FC Köln,,473.0
Hertha Berlin,Bayern Munich,,498.0
Hertha Berlin,Borussia Dortmund,,331.0
Hertha Berlin,Borussia Monchengladbach,,491.0
Hertha Berlin,Dynamo Dresden,,174.0
Hertha Berlin,FC Kaiserslautern,,514.0
Hertha Berlin,FSV Mainz 05,,447.0
Hertha Berlin,Hamburger SV,,487.0
Hertha Berlin,Union Berlin,,23.0
Hessen Kassel,Fortuna Dusseldorf,,188.0
Hessen Kassel,Hannover 96,,119.0
Holstein Kiel,Bayern Munich,,691.0
Holstein Kiel,Borussia Dortmund,,350.0
Holstein Kiel,Eintracht Braunschweig,,228.0
