year,round,stage,fixture_id,fixture_date,team_name,team_id,opponent_name,opponent_id,team_win,team_home,fixture_length,fixture_location,division,opponent_rank_prev,team_rank_prev,team_rank,Rank_diff,const,team_max_stage,distance,best_match,match_ratio,league,team_name_fin,team_size,mean_age,foreigners,mean_value,total_value
2012,1st Round,1,559967,2012-08-17T17:00:00+00:00,VfB Lubeck,1625,Eintracht Braunschweig,744,0.0,home,90.0,Pokerstars.de-Stadion an der Lohmühle,2.0,26.0,80.0,80.0,-54.0,1,1,0,VfB Lübeck,0.9,,,,,,,
2012,1st Round,1,559968,2012-08-17T18:00:00+00:00,FC Augsburg,170,Wilhelmshaven,13941,1.0,away,90.0,Jade-Stadion,,80.0,14.0,15.0,66.0,1,3,606,FC Augsburg,1.0,Bundesliga,FC Augsburg,33.0,26.2,18.0,1.17,38.45
2012,1st Round,1,559969,2012-08-18T13:30:00+00:00,Hallescher FC,1316,MSV Duisburg,187,0.0,home,90.0,ERDGAS Sportpark,2.0,28.0,80.0,46.0,-52.0,1,1,0,Hallescher FC,1.0,Bundesliga_3,Hallescher FC,30.0,25.7,7.0,0.173,5.18
2012,1st Round,1,559969,2012-08-18T13:30:00+00:00,MSV Duisburg,187,Hallescher FC,1316,1.0,away,90.0,ERDGAS Sportpark,,80.0,28.0,29.0,52.0,1,2,363,MSV Duisburg,1.0,Bundesliga_2,MSV Duisburg,31.0,25.6,14.0,0.545,16.9
2012,1st Round,1,559970,2012-08-18T13:30:00+00:00,Borussia Dortmund,165,Oberneuland,4263,1.0,away,90.0,Weserstadion,,80.0,1.0,2.0,79.0,1,4,201,Borussia Dortmund,1.0,Bundesliga,Borussia Dortmund,31.0,24.2,10.0,9.75,302.3
2012,1st Round,1,559971,2012-08-18T13:30:00+00:00,SC Freiburg,160,Victoria Hamburg,12890,1.0,away,90.0,Stadion Hoheluft,,80.0,12.0,5.0,68.0,1,5,636,SC Freiburg,1.0,Bundesliga,SC Freiburg,32.0,24.1,15.0,2.06,65.8
2012,1st Round,1,559972,2012-08-18T13:30:00+00:00,SpVgg Unterhaching,1314,1.FC Köln,192,0.0,home,90.0,Sportpark Unterhaching,1.0,17.0,51.0,45.0,-34.0,1,1,0,SpVgg Unterhaching,1.0,Bundesliga_3,SpVgg Unterhaching,38.0,21.9,2.0,0.161,6.1
2012,1st Round,1,559972,2012-08-18T13:30:00+00:00,1.FC Köln,192,SpVgg Unterhaching,1314,1.0,away,90.0,Sportpark Unterhaching,3.0,51.0,17.0,23.0,34.0,1,3,465,1.FC Köln,1.0,Bundesliga_2,1.FC Köln,31.0,24.0,14.0,0.785,24.35
2012,1st Round,1,559973,2012-08-18T13:30:00+00:00,VfB Stuttgart,172,Falkensee-Finkenkrug,13942,1.0,away,90.0,Karl-Liebknecht-Stadion,,80.0,6.0,12.0,74.0,1,6,499,VfB Stuttgart,1.0,Bundesliga,VfB Stuttgart,34.0,25.4,19.0,2.74,93.13
2012,1st Round,1,559974,2012-08-18T13:30:00+00:00,FC St. Pauli,186,Offenburger FV,13943,1.0,away,90.0,Karl-Heitz-Stadion,,80.0,22.0,28.0,58.0,1,2,574,FC St. Pauli,1.0,Bundesliga_2,FC St. Pauli,33.0,24.6,6.0,0.686,22.65
2012,1st Round,1,559975,2012-08-18T13:30:00+00:00,Alemannia Aachen,4259,Borussia Monchengladbach,163,0.0,home,90.0,Neuer Tivoli,1.0,4.0,35.0,56.0,-31.0,1,1,0,Alemannia Aachen,1.0,Bundesliga_3,Alemannia Aachen,39.0,24.4,8.0,0.141,5.5
2012,1st Round,1,559975,2012-08-18T13:30:00+00:00,Borussia Monchengladbach,163,Alemannia Aachen,4259,1.0,away,90.0,Neuer Tivoli,2.0,35.0,4.0,8.0,31.0,1,2,52,Borussia Mönchengladbach,0.9583333333333334,Bundesliga,Borussia Mönchengladbach,29.0,24.3,14.0,3.01,87.33
2012,1st Round,1,559976,2012-08-18T13:30:00+00:00,Carl Zeiss Jena,1325,Bayer Leverkusen,168,0.0,home,90.0,Ernst-Abbe-Sportfeld,1.0,5.0,54.0,80.0,-49.0,1,1,0,FC Carl Zeiss Jena,0.9090909090909091,,,,,,,
2012,1st Round,1,559976,2012-08-18T13:30:00+00:00,Bayer Leverkusen,168,Carl Zeiss Jena,1325,1.0,away,90.0,Ernst-Abbe-Sportfeld,3.0,54.0,5.0,3.0,49.0,1,3,323,Bayer 04 Leverkusen,0.9142857142857143,Bundesliga,Bayer 04 Leverkusen,33.0,23.6,11.0,4.71,155.3
2012,1st Round,1,559977,2012-08-18T13:30:00+00:00,1899 Hoffenheim,167,BAK '07,9351,0.0,away,90.0,Poststadion,,80.0,11.0,16.0,69.0,1,1,512,TSG 1899 Hoffenheim,0.8823529411764706,Bundesliga,TSG 1899 Hoffenheim,43.0,23.7,24.0,1.82,78.25
2012,1st Round,1,559978,2012-08-18T16:00:00+00:00,FC Heidenheim,180,Vfl Bochum,176,0.0,home,90.0,Voith-Arena,2.0,29.0,40.0,41.0,-11.0,1,1,0,1.FC Heidenheim 1846,0.7878787878787878,Bundesliga_3,1.FC Heidenheim 1846,33.0,26.1,0.0,0.208,6.88
2012,1st Round,1,559979,2012-08-18T18:30:00+00:00,VfL Wolfsburg,161,Schönberg,13945,1.0,away,90.0,Pokerstars.de-Stadion an der Lohmühle,,80.0,8.0,11.0,72.0,1,5,141,VfL Wolfsburg,1.0,Bundesliga,VfL Wolfsburg,36.0,25.8,26.0,3.03,109.0
2012,1st Round,1,559980,2012-08-18T18:30:00+00:00,Kickers Offenbach,1628,SpVgg Greuther Furth,178,1.0,home,90.0,Sparda-Bank-Hessen-Stadion,2.0,19.0,44.0,51.0,-25.0,1,4,0,Kickers Offenbach,1.0,Bundesliga_3,Kickers Offenbach,29.0,24.8,3.0,0.223,6.48
2012,1st Round,1,559980,2012-08-18T18:30:00+00:00,SpVgg Greuther Furth,178,Kickers Offenbach,1628,0.0,away,90.0,Sparda-Bank-Hessen-Stadion,3.0,44.0,19.0,18.0,25.0,1,1,174,SpVgg Greuther Fürth,0.95,Bundesliga,SpVgg Greuther Fürth,37.0,24.8,18.0,0.901,33.33
2012,1st Round,1,559981,2012-08-19T12:30:00+00:00,Hannover 96,166,FC Nottingen,1638,1.0,away,90.0,Stadion an der Kreuzeiche,,80.0,7.0,9.0,73.0,1,3,392,Hannover 96,1.0,Bundesliga,Hannover 96,35.0,25.6,20.0,2.38,83.15
2012,1st Round,1,559983,2012-08-19T12:30:00+00:00,Karlsruher SC,785,Hamburger SV,175,1.0,home,90.0,Wildparkstadion,1.0,15.0,34.0,37.0,-19.0,1,3,0,Karlsruher SC,1.0,Bundesliga_3,Karlsruher SC,32.0,24.3,9.0,0.352,11.25
2012,1st Round,1,559983,2012-08-19T12:30:00+00:00,Hamburger SV,175,Karlsruher SC,785,0.0,away,90.0,Wildparkstadion,2.0,34.0,15.0,7.0,19.0,1,1,280,Hamburger SV,1.0,Bundesliga,Hamburger SV,30.0,25.1,18.0,3.5,104.95
2012,1st Round,1,559984,2012-08-19T12:30:00+00:00,TSV 1860 Munich,786,Hennef 05,12784,1.0,away,90.0,Sportpark Nord,,80.0,24.0,24.0,56.0,1,3,429,TSV 1860 Munich,1.0,Bundesliga_2,TSV 1860 Munich,33.0,25.5,11.0,0.525,17.33
2012,1st Round,1,559985,2012-08-19T12:30:00+00:00,Havelse,9342,FC Nurnberg,171,1.0,home,120.0,Wilhelm-Langrehr-Stadion,1.0,10.0,80.0,80.0,-70.0,1,2,0,TSV Havelse,0.7777777777777778,,,,,,,
2012,1st Round,1,559985,2012-08-19T12:30:00+00:00,FC Nurnberg,171,Havelse,9342,0.0,away,120.0,Wilhelm-Langrehr-Stadion,,80.0,10.0,10.0,70.0,1,1,347,1.FC Nuremberg,0.8,Bundesliga,1.FC Nuremberg,32.0,24.1,13.0,1.46,46.83
2012,1st Round,1,559986,2012-08-19T14:00:00+00:00,VfR Aalen,1327,FC Ingolstadt 04,184,1.0,home,90.0,Scholz Arena,2.0,30.0,38.0,27.0,-8.0,1,2,0,VfR Aalen,1.0,Bundesliga_2,VfR Aalen,26.0,26.6,7.0,0.45,11.7
2012,1st Round,1,559986,2012-08-19T14:00:00+00:00,FC Ingolstadt 04,184,VfR Aalen,1327,0.0,away,90.0,Scholz Arena,3.0,38.0,30.0,31.0,8.0,1,1,100,FC Ingolstadt 04,1.0,Bundesliga_2,FC Ingolstadt 04,31.0,27.2,12.0,0.465,14.43
2012,1st Round,1,559987,2012-08-19T14:00:00+00:00,SC Paderborn 07,185,Arminia Bielefeld,188,0.0,away,90.0,SchücoArena,3.0,49.0,23.0,30.0,26.0,1,1,34,SC Paderborn 07,1.0,Bundesliga_2,SC Paderborn 07,30.0,24.9,7.0,0.437,13.1
2012,1st Round,1,559988,2012-08-19T14:00:00+00:00,FC Saarbrucken,1639,FC Schalke 04,174,0.0,home,90.0,Stadion Ludwigspark,1.0,3.0,46.0,47.0,-43.0,1,1,0,1.FC Saarbrücken,0.8666666666666667,Bundesliga_3,1.FC Saarbrücken,29.0,24.8,4.0,0.178,5.18
2012,1st Round,1,559988,2012-08-19T14:00:00+00:00,FC Schalke 04,174,FC Saarbrucken,1639,1.0,away,90.0,Stadion Ludwigspark,3.0,46.0,3.0,4.0,43.0,1,3,259,FC Schalke 04,1.0,Bundesliga,FC Schalke 04,34.0,24.8,22.0,5.4,183.55
2012,1st Round,1,559989,2012-08-19T14:00:00+00:00,Erzgebirge AUE,190,Eintracht Frankfurt,169,1.0,home,90.0,Sparkassen-Erzgebirgsstadion,2.0,20.0,33.0,33.0,-13.0,1,2,0,FC Erzgebirge Aue,0.7741935483870968,Bundesliga_2,FC Erzgebirge Aue,28.0,26.1,5.0,0.482,13.5
