team_name,opponent_name,team_city,opponent_city,distance
Helmond Sport,Cambuur,Helmond,Leeuwarden,193
Helmond Sport,Fortuna Sittard,Helmond,Sittard,55
Heracles,Dordrecht,Almelo,Dordrecht,151
Heracles,GO Ahead Eagles,Almelo,Deventer,32
Heracles,Hoek,Almelo,Hoek,111
Heracles,Telstar,Almelo,Velsen,140
Heracles,Vitesse,Almelo,Arnhem,70
Heracles,Waalwijk,Almelo,Waalwijk,133
Hercules,Groningen,Utrecht,Groningen,149
Hercules,NAC Breda,Utrecht,Breda,74
Hoek,Heerenveen,Hoek,Heerenveen,154
Hoek,PEC Zwolle,Hoek,Zwolle,108
Ijsselmeervogels,Den Bosch,Bunschoten-Spakenburg,Den Bosch,63
Ijsselmeervogels,Excelsior,Bunschoten-Spakenburg,Noordwijk,64
Ijsselmeervogels,GO Ahead Eagles,Bunschoten-Spakenburg,Deventer,59
Ijsselmeervogels,SteDoCo,Bunschoten-Spakenburg,Hoornaar,52
Katwijk,DVS 33 Ermelo,Katwijk,Ermelo,83
Katwijk,FC OSS,Katwijk,Oss,91
Katwijk,Heerenveen,Katwijk,Heerenveen,133
Katwijk,Ter Leede,Katwijk,Sassenheim,6
Katwijk,Vvsb,Katwijk,Noordwijkerhout,9
Koninklijke HFC,Harkemase Boys,Haarlem,Harkema,136
Koninklijke HFC,Telstar,Haarlem,Velsen,10
Kozakken Boys,ADO Den Haag,Werkendam,The Hague,45
Kozakken Boys,Almere City FC,Werkendam,Almere,69
Kozakken Boys,De Graafschap,Werkendam,Doetinchem,98
Kozakken Boys,ONS Sneek,Werkendam,Sneek,146
Kozakken Boys,Telstar,Werkendam,Velsen,74
Kozakken Boys,Vitesse,Werkendam,Arnhem,67
MVV,AZ Alkmaar,Maastricht,Alkmaar,207
MVV,Excelsior,Maastricht,Noordwijk,177
NAC Breda,Emmen,Breda,Emmen,198
NAC Breda,FC Eindhoven,Breda,Eindhoven,53
NAC Breda,Heerenveen,Breda,Heerenveen,172
NAC Breda,PEC Zwolle,Breda,Zwolle,139
