Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win
2018,1st Preliminary Round,,HV & CV Quick,3894,FC 's-Gravenzande,3890,0.0
2018,1st Preliminary Round,,Eemdijk,1235,Vlissingen,3908,1.0
2018,1st Preliminary Round,,Vlissingen,3908,Eemdijk,1235,0.0
2018,1st Preliminary Round,,Alverna,3887,HSV ODIN 59,1245,0.0
2018,1st Preliminary Round,,HSV ODIN 59,1245,Alverna,3887,1.0
2018,1st Preliminary Round,,EVV,1286,Brielle,3888,1.0
2018,1st Preliminary Round,,Brielle,3888,EVV,1286,0.0
2018,1st Preliminary Round,,GOES,3892,Staphorst,1239,0.0
2018,1st Preliminary Round,,Staphorst,1239,GOES,3892,1.0
2018,1st Preliminary Round,,Harkemase Boys,1258,ASV De Dijk,1260,1.0
2018,1st Preliminary Round,,ASV De Dijk,1260,Harkemase Boys,1258,0.0
2018,1st Preliminary Round,,Hoek,1276,ADO '20,3886,1.0
2018,1st Preliminary Round,,ADO '20,3886,Hoek,1276,0.0
2018,1st Preliminary Round,,OSS '20,3898,Noordwijk,1247,0.0
2018,1st Preliminary Round,,Noordwijk,1247,OSS '20,3898,1.0
2018,1st Preliminary Round,,Quick '20,3899,DVS 33 Ermelo,1244,0.0
2018,1st Preliminary Round,,DVS 33 Ermelo,1244,Quick '20,3899,1.0
2018,1st Preliminary Round,,Sportlust '46,3904,HBS,3893,0.0
2018,1st Preliminary Round,,HBS,3893,Sportlust '46,3904,1.0
2018,1st Preliminary Round,,SteDoCo,3905,RKSV Cluzona,3901,1.0
2018,1st Preliminary Round,,RKSV Cluzona,3901,SteDoCo,3905,0.0
2018,1st Preliminary Round,,URK,1253,SDO,3902,1.0
2018,1st Preliminary Round,,SDO,3902,URK,1253,0.0
2018,1st Preliminary Round,,Zaanlandia,3910,Achilles 29,806,0.0
2018,1st Preliminary Round,,Achilles 29,806,Zaanlandia,3910,1.0
2018,1st Preliminary Round,,JOS Watergraafsmeer,3895,Westlandia,1243,0.0
2018,1st Preliminary Round,,Westlandia,1243,JOS Watergraafsmeer,3895,1.0
2018,1st Preliminary Round,,RKSV Bekkerveld,3900,Hercules,1264,0.0
2018,1st Preliminary Round,,Hercules,1264,RKSV Bekkerveld,3900,1.0
2018,2nd Preliminary Round,,DFS,1259,Barendrecht,1271,1.0
2018,2nd Preliminary Round,,Barendrecht,1271,DFS,1259,0.0
2018,2nd Preliminary Round,,Dovo,1234,Quick Boys,1272,1.0
2018,2nd Preliminary Round,,Quick Boys,1272,Dovo,1234,0.0
2018,2nd Preliminary Round,,DZC '68,3889,SVV Scheveningen,1250,0.0
2018,2nd Preliminary Round,,SVV Scheveningen,1250,DZC '68,3889,1.0
2018,2nd Preliminary Round,,Rijnsburgse Boys,1248,Ajax Amateurs,1266,1.0
2018,2nd Preliminary Round,,Ajax Amateurs,1266,Rijnsburgse Boys,1248,0.0
2018,2nd Preliminary Round,,Spakenburg,1249,Wittenhorst,3909,1.0
2018,2nd Preliminary Round,,Wittenhorst,3909,Spakenburg,1249,0.0
2018,2nd Preliminary Round,,JVC Cuijk,1287,Koninklijke HFC,1246,0.0
2018,2nd Preliminary Round,,Koninklijke HFC,1246,JVC Cuijk,1287,1.0
2018,2nd Preliminary Round,,Alcides,1231,VVOG,3907,1.0
2018,2nd Preliminary Round,,VVOG,3907,Alcides,1231,0.0
2018,2nd Preliminary Round,,FC 's-Gravenzande,3890,Excelsior,196,0.0
2018,2nd Preliminary Round,,Excelsior,196,FC 's-Gravenzande,3890,1.0
2018,2nd Preliminary Round,,GVVV Veenendaal,1261,TEC,1255,0.0
2018,2nd Preliminary Round,,TEC,1255,GVVV Veenendaal,1261,1.0
2018,2nd Preliminary Round,,Ijsselmeervogels,1280,Noordwijk,1247,0.0
2018,2nd Preliminary Round,,Noordwijk,1247,Ijsselmeervogels,1280,1.0
2018,2nd Preliminary Round,,Hercules,1264,ASWH,1254,0.0
2018,2nd Preliminary Round,,ASWH,1254,Hercules,1264,1.0
2018,2nd Preliminary Round,,Uno Animo,3906,Vvsb,1251,0.0
2018,2nd Preliminary Round,,Vvsb,1251,Uno Animo,3906,1.0
2018,2nd Preliminary Round,,HSV ODIN 59,1245,Dongen,1285,1.0
2018,2nd Preliminary Round,,Dongen,1285,HSV ODIN 59,1245,0.0
2018,2nd Preliminary Round,,Blauw Geel,1263,URK,1253,0.0
2018,2nd Preliminary Round,,URK,1253,Blauw Geel,1263,1.0
2018,2nd Preliminary Round,,De Treffers,1277,DVS 33 Ermelo,1244,0.0
2018,2nd Preliminary Round,,DVS 33 Ermelo,1244,De Treffers,1277,1.0
2018,2nd Preliminary Round,,Gemert,1230,Hoek,1276,1.0
2018,2nd Preliminary Round,,Hoek,1276,Gemert,1230,0.0
2018,2nd Preliminary Round,,Groene Ster,1236,FC Lienden,1283,1.0
2018,2nd Preliminary Round,,FC Lienden,1283,Groene Ster,1236,0.0
2018,2nd Preliminary Round,,HHC,1278,OFC Oostzaan,1232,0.0
2018,2nd Preliminary Round,,OFC Oostzaan,1232,HHC,1278,1.0
2018,2nd Preliminary Round,,Westlandia,1243,SteDoCo,3905,1.0
2018,2nd Preliminary Round,,SteDoCo,3905,Westlandia,1243,0.0
2018,2nd Preliminary Round,,OJC Rosmalen,1241,Flevo Boys,3891,1.0
2018,2nd Preliminary Round,,Flevo Boys,3891,OJC Rosmalen,1241,0.0
2018,2nd Preliminary Round,,HBS,3893,ONS Sneek,1256,0.0
2018,2nd Preliminary Round,,ONS Sneek,1256,HBS,3893,1.0
2018,2nd Preliminary Round,,UNA,1284,Eemdijk,1235,0.0
2018,2nd Preliminary Round,,Eemdijk,1235,UNA,1284,1.0
2018,2nd Preliminary Round,,RKAV Volendam,1238,EVV,1286,1.0
2018,2nd Preliminary Round,,EVV,1286,RKAV Volendam,1238,0.0
2018,2nd Preliminary Round,,Achilles 29,806,Harkemase Boys,1258,0.0
2018,2nd Preliminary Round,,Harkemase Boys,1258,Achilles 29,806,1.0
2018,2nd Preliminary Round,,Staphorst,1239,Hsc 21,1281,1.0
2018,2nd Preliminary Round,,Hsc 21,1281,Staphorst,1239,0.0
2018,2nd Preliminary Round,,SJC Noordwijk,3903,FC Lisse,1257,0.0
2018,2nd Preliminary Round,,FC Lisse,1257,SJC Noordwijk,3903,1.0
2018,2nd Preliminary Round,,HVV Te Werve,1233,Marvilde,3897,1.0
2018,2nd Preliminary Round,,Marvilde,3897,HVV Te Werve,1233,0.0
2019,1st Preliminary Round,,Hsc 21,1281,SteDoCo,3905,0.0
2019,1st Preliminary Round,,SteDoCo,3905,Hsc 21,1281,1.0
2019,1st Preliminary Round,,Dovo,1234,OFC Oostzaan,1232,0.0
2019,1st Preliminary Round,,OFC Oostzaan,1232,Dovo,1234,1.0
2019,1st Preliminary Round,,Huizen,1290,GOES,3892,0.0
2019,1st Preliminary Round,,GOES,3892,Huizen,1290,1.0
2019,1st Preliminary Round,,HSV ODIN 59,1245,Gemert,1230,1.0
2019,1st Preliminary Round,,Gemert,1230,HSV ODIN 59,1245,0.0
2019,1st Preliminary Round,,Achilles Veen,1282,Hercules,1264,1.0
2019,1st Preliminary Round,,Hercules,1264,Achilles Veen,1282,0.0
2019,1st Preliminary Round,,DVS 33 Ermelo,1244,HV & CV Quick,3894,0.0
2019,1st Preliminary Round,,HV & CV Quick,3894,DVS 33 Ermelo,1244,1.0
2019,1st Preliminary Round,,Barendrecht,1271,Wittenhorst,3909,1.0
2019,1st Preliminary Round,,Wittenhorst,3909,Barendrecht,1271,0.0
2019,1st Preliminary Round,,ADO '20,3886,ONS Sneek,1256,1.0
2019,1st Preliminary Round,,ONS Sneek,1256,ADO '20,3886,0.0
2019,1st Preliminary Round,,Vvsb,1251,Harkemase Boys,1258,0.0
2019,1st Preliminary Round,,Harkemase Boys,1258,Vvsb,1251,1.0
2019,1st Preliminary Round,,Rijnvogels,1288,OSS '20,3898,0.0
2019,1st Preliminary Round,,OSS '20,3898,Rijnvogels,1288,1.0
2019,1st Preliminary Round,,Kloetinge,3930,FC Lienden,1283,1.0
2019,1st Preliminary Round,,FC Lienden,1283,Kloetinge,3930,0.0
2019,1st Preliminary Round,,Sparta Nijkerk,1274,UNA,1284,1.0
2019,1st Preliminary Round,,UNA,1284,Sparta Nijkerk,1274,0.0
2019,1st Preliminary Round,,FC Lisse,1257,Ajax Amateurs,1266,0.0
2019,1st Preliminary Round,,Ajax Amateurs,1266,FC Lisse,1257,1.0
2019,1st Preliminary Round,,Hoogland,6266,Jodan Boys,1289,0.0
2019,1st Preliminary Round,,Jodan Boys,1289,Hoogland,6266,1.0
2019,1st Preliminary Round,,Ter Leede,1279,Fortuna Wormerveer,6264,0.0
2019,1st Preliminary Round,,Fortuna Wormerveer,6264,Ter Leede,1279,1.0
2019,1st Preliminary Round,,VVOG,3907,Minor,6268,1.0
2019,1st Preliminary Round,,Minor,6268,VVOG,3907,0.0
2019,1st Preliminary Round,,Vroomshoopse Boys,6274,EVV,1286,0.0
2019,1st Preliminary Round,,EVV,1286,Vroomshoopse Boys,6274,1.0
2019,1st Preliminary Round,,FC 's-Gravenzande,3890,Heeze,6265,1.0
2019,1st Preliminary Round,,Heeze,6265,FC 's-Gravenzande,3890,0.0
2019,1st Preliminary Round,,VEV '67,6273,Silvolde,6270,0.0
2019,1st Preliminary Round,,Silvolde,6270,VEV '67,6273,1.0
2019,1st Preliminary Round,,Excelsior '31,6263,DEM,6260,1.0
2019,1st Preliminary Round,,DEM,6260,Excelsior '31,6263,0.0
2019,1st Preliminary Round,,SDO,3902,ARC,6259,1.0
2019,1st Preliminary Round,,ARC,6259,SDO,3902,0.0
2019,1st Preliminary Round,,ROHDA Raalte,6269,DUNO,6261,0.0
2019,1st Preliminary Round,,DUNO,6261,ROHDA Raalte,6269,1.0
2019,1st Preliminary Round,,Westlandia,1243,Zuidvogels,6276,1.0
2019,1st Preliminary Round,,Zuidvogels,6276,Westlandia,1243,0.0
2019,1st Preliminary Round,,Drachtster Boys,6262,Dongen,1285,0.0
2019,1st Preliminary Round,,Dongen,1285,Drachtster Boys,6262,1.0
2019,1st Preliminary Round,,Mierlo-Hout,6267,Flevo Boys,3891,0.0
2019,1st Preliminary Round,,Flevo Boys,3891,Mierlo-Hout,6267,1.0
2019,1st Preliminary Round,,Groene Ster,1236,Winsum,6275,1.0
2019,1st Preliminary Round,,Winsum,6275,Groene Ster,1236,0.0
2019,1st Preliminary Round,,TOP Oss Amateurs,6272,Hoek,1276,0.0
2019,1st Preliminary Round,,Hoek,1276,TOP Oss Amateurs,6272,1.0
2019,1st Preliminary Round,,Blauw Geel,1263,Sliedrecht,6271,1.0
2019,1st Preliminary Round,,Sliedrecht,6271,Blauw Geel,1263,0.0
2019,1st Round,1.0,FC 's-Gravenzande,3890,SteDoCo,3905,0.0
2019,1st Round,1.0,SteDoCo,3905,FC 's-Gravenzande,3890,1.0
2019,1st Round,1.0,Excelsior,196,Heerenveen,210,0.0
2019,1st Round,1.0,Heerenveen,210,Excelsior,196,1.0
2019,1st Round,1.0,Dordrecht,409,MVV,412,1.0
2019,1st Round,1.0,MVV,412,Dordrecht,409,0.0
2019,1st Round,1.0,Heracles,206,Waalwijk,417,1.0
2019,1st Round,1.0,Waalwijk,417,Heracles,206,0.0
2019,1st Round,1.0,Ijsselmeervogels,1280,Den Bosch,421,1.0
2019,1st Round,1.0,Den Bosch,421,Ijsselmeervogels,1280,0.0
2019,1st Round,1.0,Koninklijke HFC,1246,Telstar,427,0.0
2019,1st Round,1.0,Telstar,427,Koninklijke HFC,1246,1.0
2019,1st Round,1.0,Hoek,1276,PEC Zwolle,193,0.0
2019,1st Round,1.0,PEC Zwolle,193,Hoek,1276,1.0
2019,1st Round,1.0,Almere City FC,419,GO Ahead Eagles,410,0.0
2019,1st Round,1.0,GO Ahead Eagles,410,Almere City FC,419,1.0
2019,1st Round,1.0,Vitesse,200,De Graafschap,199,1.0
2019,1st Round,1.0,De Graafschap,199,Vitesse,200,0.0
2019,1st Round,1.0,Fortuna Sittard,205,ADO Den Haag,198,1.0
2019,1st Round,1.0,ADO Den Haag,198,Fortuna Sittard,205,0.0
2019,1st Round,1.0,Sparta Rotterdam,426,FC Volendam,416,1.0
2019,1st Round,1.0,FC Volendam,416,Sparta Rotterdam,426,0.0
2019,1st Round,1.0,Excelsior,196,NEC Nijmegen,413,1.0
2019,1st Round,1.0,NEC Nijmegen,413,Excelsior,196,0.0
2019,1st Round,1.0,NAC Breda,203,Emmen,208,1.0
2019,1st Round,1.0,Emmen,208,NAC Breda,203,0.0
2019,2nd Preliminary Round,,Blauw Geel,1263,De Treffers,1277,0.0
2019,2nd Preliminary Round,,De Treffers,1277,Blauw Geel,1263,1.0
2019,2nd Preliminary Round,,Westlandia,1243,OFC Oostzaan,1232,0.0
2019,2nd Preliminary Round,,OFC Oostzaan,1232,Westlandia,1243,1.0
2019,2nd Preliminary Round,,Spakenburg,1249,SDO,3902,1.0
2019,2nd Preliminary Round,,SDO,3902,Spakenburg,1249,0.0
2019,2nd Preliminary Round,,Quick Boys,1272,Katwijk,1237,0.0
2019,2nd Preliminary Round,,Katwijk,1237,Quick Boys,1272,1.0
2019,2nd Preliminary Round,,OSS '20,3898,Jodan Boys,1289,1.0
2019,2nd Preliminary Round,,Jodan Boys,1289,OSS '20,3898,0.0
2019,2nd Preliminary Round,,Groene Ster,1236,Kloetinge,3930,1.0
