Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win,Opponent_rank_prev,Team_rank_prev,Team_rank,Rank_diff,const,Team_max_stage
2017,2nd Round,2,Fortuna Sittard,205,GO Ahead Eagles,410,1.0,75.0,75.0,21.0,0.0,1,3.0
2017,2nd Round,2,GO Ahead Eagles,410,Fortuna Sittard,205,0.0,75.0,75.0,34.0,0.0,1,2.0
2017,2nd Round,2,GVVV Veenendaal,1261,Koninklijke HFC,1246,1.0,75.0,75.0,42.0,0.0,1,3.0
2017,2nd Round,2,Koninklijke HFC,1246,GVVV Veenendaal,1261,0.0,75.0,75.0,47.0,0.0,1,2.0
2017,2nd Round,2,Katwijk,1237,Vvsb,1251,0.0,75.0,75.0,39.0,0.0,1,2.0
2017,2nd Round,2,Vvsb,1251,Katwijk,1237,1.0,75.0,75.0,44.0,0.0,1,3.0
2017,2nd Round,2,PEC Zwolle,193,Kozakken Boys,1242,1.0,75.0,75.0,5.0,0.0,1,4.0
2017,2nd Round,2,Kozakken Boys,1242,PEC Zwolle,193,0.0,75.0,75.0,40.0,0.0,1,2.0
2017,2nd Round,2,Waalwijk,417,De Treffers,1277,1.0,75.0,75.0,36.0,0.0,1,3.0
2017,2nd Round,2,De Treffers,1277,Waalwijk,417,0.0,75.0,75.0,51.0,0.0,1,2.0
2017,2nd Round,2,NEC Nijmegen,413,Achilles 29,806,1.0,75.0,75.0,19.0,0.0,1,3.0
2017,2nd Round,2,Achilles 29,806,NEC Nijmegen,413,0.0,75.0,75.0,56.0,0.0,1,2.0
2017,1st Round,1,FC Lisse,1257,Hoek,1276,1.0,75.0,75.0,49.0,0.0,1,1.0
2017,1st Round,1,Hoek,1276,FC Lisse,1257,0.0,75.0,75.0,,0.0,1,2.0
2017,1st Round,1,SDC Putten,1262,PSV Eindhoven,197,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,PSV Eindhoven,197,SDC Putten,1262,1.0,75.0,75.0,1.0,0.0,1,4.0
2017,1st Round,1,Blauw Geel,1263,VVV Venlo,204,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,VVV Venlo,204,Blauw Geel,1263,1.0,75.0,75.0,10.0,0.0,1,3.0
2017,1st Round,1,Hercules,1264,Groningen,202,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,Groningen,202,Hercules,1264,1.0,75.0,75.0,13.0,0.0,1,2.0
2017,1st Round,1,Vv De Meern,1265,PEC Zwolle,193,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,PEC Zwolle,193,Vv De Meern,1265,1.0,75.0,75.0,5.0,0.0,1,4.0
2017,1st Round,1,Feyenoord,209,ADO Den Haag,198,1.0,75.0,75.0,4.0,0.0,1,6.0
2017,1st Round,1,ADO Den Haag,198,Feyenoord,209,0.0,75.0,75.0,8.0,0.0,1,1.0
2017,1st Round,1,Achilles 29,806,NAC Breda,203,1.0,75.0,75.0,56.0,0.0,1,2.0
2017,1st Round,1,NAC Breda,203,Achilles 29,806,0.0,75.0,75.0,15.0,0.0,1,1.0
2017,1st Round,1,Ajax Amateurs,1266,Utrecht,207,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,Utrecht,207,Ajax Amateurs,1266,1.0,75.0,75.0,6.0,0.0,1,2.0
2017,1st Round,1,ASV De Dijk,1260,HHC,1278,1.0,75.0,75.0,53.0,0.0,1,2.0
2017,1st Round,1,HHC,1278,ASV De Dijk,1260,0.0,75.0,75.0,41.0,0.0,1,1.0
2017,1st Round,1,Csv Apeldoorn,1267,Willem II,195,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,Willem II,195,Csv Apeldoorn,1267,1.0,75.0,75.0,14.0,0.0,1,5.0
2017,1st Round,1,Excelsior,196,Heerenveen,210,0.0,75.0,75.0,12.0,0.0,1,1.0
2017,1st Round,1,Heerenveen,210,Excelsior,196,1.0,75.0,75.0,9.0,0.0,1,2.0
2017,1st Round,1,Katwijk,1237,Ter Leede,1279,1.0,75.0,75.0,39.0,0.0,1,2.0
2017,1st Round,1,Ter Leede,1279,Katwijk,1237,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,ONS Sneek,1256,Twente,415,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,Twente,415,ONS Sneek,1256,1.0,75.0,75.0,17.0,0.0,1,5.0
2017,1st Round,1,Staphorst,1239,Koninklijke HFC,1246,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,Koninklijke HFC,1246,Staphorst,1239,1.0,75.0,75.0,47.0,0.0,1,2.0
2017,1st Round,1,Vvsb,1251,Telstar,427,1.0,75.0,75.0,44.0,0.0,1,3.0
2017,1st Round,1,Telstar,427,Vvsb,1251,0.0,75.0,75.0,23.0,0.0,1,1.0
2017,1st Round,1,SVV Scheveningen,1250,Ajax,194,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,Ajax,194,SVV Scheveningen,1250,1.0,75.0,75.0,2.0,0.0,1,3.0
2017,1st Round,1,Avv Swift,1269,Vitesse,200,1.0,75.0,75.0,,0.0,1,2.0
2017,1st Round,1,Vitesse,200,Avv Swift,1269,0.0,75.0,75.0,7.0,0.0,1,1.0
2017,1st Round,1,Capelle,1270,Roda,414,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,Roda,414,Capelle,1270,1.0,75.0,75.0,16.0,0.0,1,4.0
2017,1st Round,1,MVV,412,AZ Alkmaar,201,0.0,75.0,75.0,32.0,0.0,1,1.0
2017,1st Round,1,AZ Alkmaar,201,MVV,412,1.0,75.0,75.0,3.0,0.0,1,6.0
