team_name,opponent_name,team_city,opponent_city,distance
Hallescher FC,Eintracht Braunschweig,Halle,Braunschweig,135
Hallescher FC,Eintracht Frankfurt,Halle,Frankfurt am Main,288
Hallescher FC,FC Kaiserslautern,Halle,Kaiserslautern,373
Hallescher FC,Hamburger SV,Halle,Hamburg,276
Hallescher FC,MSV Duisburg,Halle,Duisburg,360
Hallescher FC,VfL Wolfsburg,Halle,Wolfsburg,133
Hamburger SV,1.FC Köln,Hamburg,Cologne,372
Hamburger SV,Bayern Munich,Hamburg,Munich,618
Hamburger SV,Borussia Monchengladbach,Hamburg,Mönchengladbach,371
Hamburger SV,FC Nurnberg,Hamburg,Nuremberg,475
Hamburger SV,RB Leipzig,Hamburg,Leipzig,300
Hamburger SV,SC Freiburg,Hamburg,Freiburg,647
Hamburger SV,SpVgg Greuther Furth,Hamburg,Fürth,466
Hannover 96,Borussia Monchengladbach,Hannover,Mönchengladbach,269
Hannover 96,Dynamo Dresden,Hannover,Dresden,312
Hannover 96,Eintracht Frankfurt,Hannover,Frankfurt am Main,270
Hannover 96,FSV Mainz 05,Hannover,Mainz,285
Hannover 96,Fortuna Dusseldorf,Hannover,Düsseldorf,241
Hannover 96,RB Leipzig,Hannover,Leipzig,211
Hannover 96,Werder Bremen,Hannover,Bremen,99
Hansa Rostock,FC Heidenheim,Rostock,Heidenheim an der Brenz,620
Hansa Rostock,FC Kaiserslautern,Rostock,Kaiserslautern,599
Hansa Rostock,FC Nurnberg,Rostock,Nuremberg,524
Hansa Rostock,Fortuna Dusseldorf,Rostock,Düsseldorf,480
Hansa Rostock,Hertha Berlin,Rostock,Berlin,194
Hansa Rostock,VfB Stuttgart,Rostock,Stuttgart,623
Hansa Rostock,Vfl Bochum,Rostock,Bochum,437
Havelse,FC Nurnberg,Garfeld,Nuremberg,
Havelse,FSV Mainz 05,Garfeld,Mainz,
Havelse,Vfl Bochum,Garfeld,Bochum,
Hennef 05,TSV 1860 Munich,Hennef,Munich,431
Hertha Berlin,1.FC Köln,Berlin,Cologne,473
Hertha Berlin,Bayern Munich,Berlin,Munich,498
Hertha Berlin,Borussia Dortmund,Berlin,Dortmund,419
Hertha Berlin,Borussia Monchengladbach,Berlin,Mönchengladbach,495
Hertha Berlin,Dynamo Dresden,Berlin,Dresden,168
Hertha Berlin,FC Kaiserslautern,Berlin,Kaiserslautern,514
Hertha Berlin,Union Berlin,Berlin,Berlin,23
Hessen Kassel,Fortuna Dusseldorf,Kassel,Düsseldorf,188
Hessen Kassel,Hannover 96,Kassel,Hannover,120
Holstein Kiel,Bayern Munich,Kiel,Munich,694
Holstein Kiel,Borussia Dortmund,Kiel,Dortmund,369
Holstein Kiel,Eintracht Braunschweig,Kiel,Braunschweig,231
Holstein Kiel,Energie Cottbus,Kiel,Cottbus,404
Holstein Kiel,FC Augsburg,Kiel,Augsburg,667
Holstein Kiel,FSV Mainz 05,Kiel,Mainz,501
Holstein Kiel,MSV Duisburg,Kiel,Duisburg,397
Holstein Kiel,SC Freiburg,Kiel,Freiburg,724
Holstein Kiel,SV Darmstadt 98,Kiel,Darmstadt,508
Holstein Kiel,TSV 1860 Munich,Kiel,Munich,702
Holstein Kiel,VfB Stuttgart,Kiel,Stuttgart,620
Illertissen,Eintracht Frankfurt,Illertissen,Frankfurt am Main,237
Illertissen,FC Heidenheim,Illertissen,Heidenheim an der Brenz,50
Illertissen,Werder Bremen,Illertissen,Bremen,546
Jahn Regensburg,1.FC Köln,Regensburg,Cologne,430
Jahn Regensburg,Bayern Munich,Regensburg,Munich,100
Jahn Regensburg,Borussia Monchengladbach,Regensburg,Mönchengladbach,476
Jahn Regensburg,FC Heidenheim,Regensburg,Heidenheim an der Brenz,149
Jahn Regensburg,Fortuna Dusseldorf,Regensburg,Düsseldorf,453
Jahn Regensburg,Hansa Rostock,Regensburg,Rostock,570
Jahn Regensburg,Hertha Berlin,Regensburg,Berlin,400
Jahn Regensburg,SV Darmstadt 98,Regensburg,Darmstadt,269
Jahn Regensburg,Union Berlin,Regensburg,Berlin,399
Jahn Regensburg,Werder Bremen,Regensburg,Bremen,508
KFC Uerdingen 05,Borussia Dortmund,Krefeld,Dortmund,59
Kaan-Marienborn,FC Nurnberg,Siegen,Nuremberg,272
Karlsruher SC,Alemannia Aachen,Karlsruhe,Aachen,258
Karlsruher SC,Bayer Leverkusen,Karlsruhe,Leverkusen,245
Karlsruher SC,FC Schalke 04,Karlsruhe,Gelsenkirchen,293
Karlsruher SC,Hamburger SV,Karlsruhe,Hamburg,527
Karlsruher SC,Hannover 96,Karlsruhe,Hannover,386
Karlsruher SC,MSV Duisburg,Karlsruhe,Duisburg,290
Karlsruher SC,SC Freiburg,Karlsruhe,Freiburg,121
Karlsruher SC,Union Berlin,Karlsruhe,Berlin,528
Karlsruher SC,VfL Wolfsburg,Karlsruhe,Wolfsburg,415
Kickers Emden,FSV Frankfurt,Emden,Frankfurt am Main,377
Kickers Offenbach,Borussia Monchengladbach,Offenbach am Main,Mönchengladbach,206
Kickers Offenbach,FC Ingolstadt 04,Offenbach am Main,Ingolstadt,244
Kickers Offenbach,Fortuna Dusseldorf,Offenbach am Main,Düsseldorf,186
Kickers Offenbach,Hannover 96,Offenbach am Main,Hannover,263
Kickers Offenbach,Karlsruher SC,Offenbach am Main,Karlsruhe,123
Kickers Offenbach,SpVgg Greuther Furth,Offenbach am Main,Fürth,174
Kickers Offenbach,Union Berlin,Offenbach am Main,Berlin,425
Kickers Offenbach,VfL Wolfsburg,Offenbach am Main,Wolfsburg,295
Leher,1.FC Köln,Bremerhaven,Cologne,318
Lippstadt 08,Bayer Leverkusen,Lippstadt,Leverkusen,120
Lokomotive Leipzig,Bayer Leverkusen,Leipzig,Leverkusen,385
Luneburger SK Hansa,FSV Mainz 05,Lüneburg,Mainz,391
MSV Duisburg,1.FC Köln,Duisburg,Cologne,57
MSV Duisburg,1899 Hoffenheim,Duisburg,Sinsheim,279
MSV Duisburg,Borussia Dortmund,Duisburg,Dortmund,42
MSV Duisburg,FC Nurnberg,Duisburg,Nuremberg,379
MSV Duisburg,FC Schalke 04,Duisburg,Gelsenkirchen,25
MSV Duisburg,SC Paderborn 07,Duisburg,Paderborn,141
MSV Duisburg,SpVgg Greuther Furth,Duisburg,Fürth,367
MSV Duisburg,Union Berlin,Duisburg,Berlin,481
Meinerzhagen,SpVgg Greuther Furth,Meinerzhagen,Fürth,299
Neckarsulmer SU,FC Kaiserslautern,Neckarsulm,Kaiserslautern,109
Neubrandenburg 04,Karlsruher SC,Neubrandenburg,Karlsruhe,610
Neustrelitz,Karlsruher SC,Neustrelitz,Karlsruhe,579
Neustrelitz,SC Freiburg,Neustrelitz,Freiburg,697
Oberachern,Borussia Monchengladbach,Achern,Mönchengladbach,309
Oberneuland,Borussia Dortmund,Bremen,Dortmund,209
Oberneuland,Borussia Monchengladbach,Bremen,Mönchengladbach,276
Oberneuland,FC Ingolstadt 04,Bremen,Ingolstadt,512
Oberneuland,SV Darmstadt 98,Bremen,Darmstadt,358
Offenburger FV,FC St. Pauli,Offenburg,Hamburg,583
Optik Rathenow,FC St. Pauli,Rathenow,Hamburg,191
Optik Rathenow,FSV Frankfurt,Rathenow,Frankfurt am Main,373
Paloma,1899 Hoffenheim,Hamburg,Sinsheim,482
Pfeddersheim,SpVgg Greuther Furth,Worms,Fürth,197
Pirmasens,FC Heidenheim,Pirmasens,Heidenheim an der Brenz,195
Preussen Munster,Bayern Munich,Münster,Munich,502
Preussen Munster,FC Augsburg,Münster,Augsburg,460
Preussen Munster,FC St. Pauli,Münster,Hamburg,240
Preussen Munster,Hertha Berlin,Münster,Berlin,389
Preussen Munster,VfL Wolfsburg,Münster,Wolfsburg,224
Preussen Munster,Werder Bremen,Münster,Bremen,151
RB Leipzig,1899 Hoffenheim,Leipzig,Sinsheim,340
RB Leipzig,Bayern Munich,Leipzig,Munich,357
RB Leipzig,Borussia Dortmund,Leipzig,Dortmund,346
RB Leipzig,Erzgebirge AUE,Leipzig,Aue,87
RB Leipzig,FC Augsburg,Leipzig,Augsburg,347
RB Leipzig,Hansa Rostock,Leipzig,Rostock,308
