stage,causal_effect,std_error,p_value,r_squared,f_stat,f_p_value,grid_id,instrument,control_vars,significant
5,-5.093612159539964,3.6308447025979906,0.17028333751378358,0.6421814434600221,6.056992767765202,0.0009560262552902768,151,rank_diff,"['team_size', 'total_value', 'distance']",False
6,-0.45426850551506703,2.2164210038760572,0.8400405525562707,0.7494985557036217,3.6625350133851042,0.025053159478070332,151,rank_diff,"['team_size', 'total_value', 'distance']",False
1,-12.58359485408149,2.8903586736085836,1.6950162373136426e-05,0.7261948730737071,38.82947971153513,1.5090281203379182e-27,152,rank_diff,"['team_size', 'total_value', 'team_home']",True
2,-23.561765010240492,3.096254790674358,4.599470964474473e-13,0.5836814104975059,15.968579512543547,9.527442556877081e-12,152,rank_diff,"['team_size', 'total_value', 'team_home']",True
3,-22.482918838349754,5.119865300767059,2.206228604647668e-05,0.5734186643205399,7.991482145753272,7.843194139798283e-06,152,rank_diff,"['team_size', 'total_value', 'team_home']",False
4,-17.966992868125686,6.322293091482355,0.005961262447509702,0.5512698955293915,6.174298472730806,0.0002778084976561087,152,rank_diff,"['team_size', 'total_value', 'team_home']",False
5,-5.7665385169303045,4.162323716873293,0.17550778020820076,0.6447874380922728,6.607576098041341,0.0005394866201136755,152,rank_diff,"['team_size', 'total_value', 'team_home']",False
6,-0.5075393608881233,2.74593154392604,0.8555469693858904,0.7488963168495986,3.7049190306756046,0.024058977617317023,152,rank_diff,"['team_size', 'total_value', 'team_home']",False
1,-35.74110015761923,1.9512733232083592,3.986200362955333e-55,0.6938607828694461,38.407931690267255,2.7600263296000723e-27,153,rank_diff,"['team_size', 'total_value', 'extra_time']",True
2,-26.469380221020163,3.2915519433984586,2.803295760691586e-14,0.5851748545897486,14.748571406728544,6.534543644884215e-11,153,rank_diff,"['team_size', 'total_value', 'extra_time']",True
3,-31.332391261396342,6.059375272747974,7.894002770733665e-07,0.5723275469826098,6.496433014404329,7.974368991278585e-05,153,rank_diff,"['team_size', 'total_value', 'extra_time']",False
4,-16.417714034938186,5.647587438537445,0.004963886422445527,0.5619340100642174,6.0853708376872,0.0003132800370952229,153,rank_diff,"['team_size', 'total_value', 'extra_time']",False
5,-5.590312081533106,3.8335007408310533,0.15450962952131053,0.6445123770833001,4.790963996187336,0.003833954008889769,153,rank_diff,"['team_size', 'total_value', 'extra_time']",False
6,-0.45855945058071024,2.310758253576208,0.8450503848355398,0.793661265993375,1.4529130583608527,0.2599730408917011,153,rank_diff,"['team_size', 'total_value', 'extra_time']",False
1,-20.720864514100956,3.314749057402186,1.0278810391556422e-09,0.562167047943146,37.00187417719258,2.0940119721928714e-26,154,rank_diff,"['team_size', 'distance', 'team_home']",True
2,-32.74943015358657,3.233746647946156,1.2128843306726767e-20,0.29424725188383727,13.214216240338086,7.610236803265941e-10,154,rank_diff,"['team_size', 'distance', 'team_home']",True
3,-32.07162837155809,4.7489240068461,3.555926102208134e-10,0.2775318471647775,5.890046682894148,0.00020710784339768052,154,rank_diff,"['team_size', 'distance', 'team_home']",False
4,-23.946586916892176,5.843896504269395,0.00011645269789541292,0.23474879405471816,4.112130933295813,0.004906653473976025,154,rank_diff,"['team_size', 'distance', 'team_home']",False
5,-11.215190858121003,3.466243493142653,0.0028206624879984392,0.3037289719792695,4.5444523843183084,0.005087262446029087,154,rank_diff,"['team_size', 'distance', 'team_home']",False
6,-7.9571646739280775,2.344872882335591,0.0034565680257928797,0.53107249028725,3.8153572411563097,0.021666692196762687,154,rank_diff,"['team_size', 'distance', 'team_home']",False
1,-37.638107541220805,2.503635282598319,5.841744373052774e-41,0.5366134828744318,36.610967818353544,3.6910971760075406e-26,155,rank_diff,"['team_size', 'distance', 'extra_time']",True
2,-33.299532077460256,3.19654290810183,1.3968969360052936e-21,0.2989616620217175,13.010031981206794,1.0580021054347608e-09,155,rank_diff,"['team_size', 'distance', 'extra_time']",True
3,-35.39445768575013,4.927891164413009,3.700473050700453e-11,0.27746314276172757,5.361457656472035,0.0004784749175031745,155,rank_diff,"['team_size', 'distance', 'extra_time']",False
4,-24.144341831951383,5.8585509081099,0.00010739808289444705,0.23462098907897577,4.145130560151278,0.004680264033391436,155,rank_diff,"['team_size', 'distance', 'extra_time']",False
5,-10.879594540530384,3.487713427412591,0.0038203948794137623,0.2901558563633274,4.537435803273233,0.005128694608241413,155,rank_diff,"['team_size', 'distance', 'extra_time']",False
6,-8.168249970277277,2.540432050591022,0.005077574855559856,0.46074428865109507,3.920613422231573,0.019628677311641363,155,rank_diff,"['team_size', 'distance', 'extra_time']",False
1,-20.795001558969183,3.3283204984874546,1.0473682663925074e-09,0.5620109132045022,37.004183281032155,2.0870215759268863e-26,156,rank_diff,"['team_size', 'team_home', 'extra_time']",True
2,-32.30073649849072,3.172202712373656,8.063439169311762e-21,0.2996872004318981,13.088403684797592,9.322489898541488e-10,156,rank_diff,"['team_size', 'team_home', 'extra_time']",True
3,-32.562850065730544,4.745416970601524,2.0183861551561247e-10,0.27817446895528386,5.89430256339799,0.00020572015972231413,156,rank_diff,"['team_size', 'team_home', 'extra_time']",False
4,-23.573753422153292,5.741813237473789,0.00011332254644521109,0.23407319427907813,3.9528079525806463,0.006166608643149923,156,rank_diff,"['team_size', 'team_home', 'extra_time']",False
5,-11.23195450515175,3.597033466600142,0.0037892613577800677,0.2915673391958604,4.114663251352591,0.008413156748887917,156,rank_diff,"['team_size', 'team_home', 'extra_time']",False
6,-8.092633880371448,2.510646050650091,0.004990562154824225,0.45267935650330515,3.6353633478250464,0.025714264987405266,156,rank_diff,"['team_size', 'team_home', 'extra_time']",False
1,-27.61766211732686,2.2244927261996548,3.0279127108095e-30,0.7148924696132279,38.38077169519611,2.869678944058213e-27,157,rank_diff,"['foreigners', 'mean_age', 'total_value']",True
2,-18.74288658414332,3.2472671347990767,2.147140910148553e-08,0.637475131136013,14.712931473544828,6.915091590160793e-11,157,rank_diff,"['foreigners', 'mean_age', 'total_value']",True
3,-19.243186201149246,5.131190697705116,0.00025780910491558025,0.6427827223691756,6.354475443657091,9.964387079012029e-05,157,rank_diff,"['foreigners', 'mean_age', 'total_value']",False
4,-12.69933562811401,5.715012832416872,0.029709350971767405,0.609484083792825,5.940371141522254,0.0003813695097349675,157,rank_diff,"['foreigners', 'mean_age', 'total_value']",False
5,-7.481289134617984,3.9866046582489867,0.06971685635010526,0.629792580574202,5.069864470447324,0.002797857137137084,157,rank_diff,"['foreigners', 'mean_age', 'total_value']",False
