stage,2sls_iv,std_error,p_value,r_squared,f_stat,f_p_value,causal_effect,grid_id,instrument,control_vars,significant
3,-0.4824449796855325,1.3198772310310676,0.7152769644877021,0.0035958182961517426,8.022036466297564,1.1361089259924665e-06,-0.23776309036562365,141,team_better,"['mean_age', 'total_value', 'distance', 'extra_time']",False
4,-1.7189439712031347,1.2164406766117015,0.16239924020398688,0.03721671489180167,10.046188581226017,3.7276535202656147e-07,-0.8471461989821406,141,team_better,"['mean_age', 'total_value', 'distance', 'extra_time']",False
5,-4.034123788436542,2.286455939087389,0.08752483321230844,0.14637269870528924,3.9046029424465836,0.007342044615564518,-1.9881349775498822,141,team_better,"['mean_age', 'total_value', 'distance', 'extra_time']",False
6,0.782842017877468,2.032218278748966,0.7058670305941931,0.1061859265869255,4.7089752646510945,0.00988345359167661,0.3858075952203535,141,team_better,"['mean_age', 'total_value', 'distance', 'extra_time']",False
1,-0.2980242277662828,1.3185348448764935,0.8212943086094482,0.024003461232555923,21.184490567586106,7.758889157532155e-19,-0.14687511401554504,142,team_better,"['mean_age', 'total_value', 'distance', 'next_fixture_days']",False
2,-1.468101414547991,0.9636442153057373,0.12881111713188848,0.016853706412799707,15.619734751615198,1.7020306344155645e-13,-0.7235236016355658,142,team_better,"['mean_age', 'total_value', 'distance', 'next_fixture_days']",False
3,-0.5128877703079974,1.3200356304659433,0.6982103076063244,0.0032770226821147164,8.15096519295429,9.006029105770011e-07,-0.2527661938956238,142,team_better,"['mean_age', 'total_value', 'distance', 'next_fixture_days']",False
4,-1.6935680489646572,1.2298059112517308,0.17320495403210856,0.03673098817381959,10.311182465517984,2.623895600412732e-07,-0.8346401973729397,142,team_better,"['mean_age', 'total_value', 'distance', 'next_fixture_days']",False
5,-4.058056685898684,2.3061531950983305,0.08833122250087766,0.12133572673086435,3.895707794828716,0.007429652243465152,-1.9999298140630772,142,team_better,"['mean_age', 'total_value', 'distance', 'next_fixture_days']",False
6,1.2184307769011185,1.693980901328394,0.48380841445624745,0.12778691123361308,5.524677095551427,0.005145765607970159,0.600478560480469,142,team_better,"['mean_age', 'total_value', 'distance', 'next_fixture_days']",False
1,-18.548144367471547,3.7164077548948757,8.934536317568489e-07,0.0920246731212705,21.089427602411245,9.320191168132412e-19,-9.141071647656776,143,team_better,"['mean_age', 'total_value', 'team_home', 'extra_time']",True
2,-1.7229455085151717,0.94944019121607,0.07068436882943259,0.025577543520676316,15.4731848242508,2.2376973566969252e-13,-0.8491182743846941,143,team_better,"['mean_age', 'total_value', 'team_home', 'extra_time']",True
3,-0.1435250919691411,1.3058522620757915,0.9126399614960992,0.011364182728442751,8.246247201486955,7.588133860795166e-07,-0.07073339105702103,143,team_better,"['mean_age', 'total_value', 'team_home', 'extra_time']",False
4,-1.6381879018429262,1.2206616564196981,0.18424927228347224,0.032440544669346205,9.944194108371196,4.2710517921872026e-07,-0.8073472303424849,143,team_better,"['mean_age', 'total_value', 'team_home', 'extra_time']",False
5,-4.625161779425573,2.826915728303406,0.11192961584805465,0.19460519205332127,4.430975033467022,0.00368326473477853,-2.2794159011334174,143,team_better,"['mean_age', 'total_value', 'team_home', 'extra_time']",False
6,0.7181140117501794,1.95687587881867,0.7191289945907202,0.10860134193880733,5.065855044201483,0.007376237907052416,0.3539077280478095,143,team_better,"['mean_age', 'total_value', 'team_home', 'extra_time']",False
1,-18.223429414991937,3.670659831874871,1.0152674944274154e-06,0.08643597363551836,21.199982378710608,7.530599981878883e-19,-8.981042558661379,144,team_better,"['mean_age', 'total_value', 'team_home', 'next_fixture_days']",True
2,-1.7359224663170094,0.9542978322191644,0.07001442542802612,0.02518360228025085,15.440463870732614,2.3788252328343987e-13,-0.8555137012632583,144,team_better,"['mean_age', 'total_value', 'team_home', 'next_fixture_days']",True
3,-0.1836770175290108,1.308064091596992,0.8885322450884858,0.010567969578773595,8.36555870303491,6.125849742118733e-07,-0.09052144214518407,144,team_better,"['mean_age', 'total_value', 'team_home', 'next_fixture_days']",False
4,-1.6125461879288923,1.237737765100468,0.19723390776149843,0.031219997449793868,10.262222338492952,2.799019779826125e-07,-0.7947102387700038,144,team_better,"['mean_age', 'total_value', 'team_home', 'next_fixture_days']",False
5,-4.666635881953352,2.846190303340041,0.11119712559566447,0.16654752152165453,4.405517943707164,0.0038061284697499405,-2.2998555599595347,144,team_better,"['mean_age', 'total_value', 'team_home', 'next_fixture_days']",False
6,1.1680568067090047,1.7181648267331506,0.5076993298351891,0.12844512395508623,5.90891638780173,0.0038556531402518385,0.575652784835193,144,team_better,"['mean_age', 'total_value', 'team_home', 'next_fixture_days']",False
1,0.4798897523816982,0.982530242276673,0.6255143914263707,0.030513980420729836,21.19654852846591,7.580612576158734e-19,0.23650379911806568,145,team_better,"['mean_age', 'total_value', 'extra_time', 'next_fixture_days']",False
2,-1.4053754427350562,0.9969838145415556,0.1598048775296088,0.016528163000571583,14.5782056222062,1.202413255336266e-12,-0.6926103959179905,145,team_better,"['mean_age', 'total_value', 'extra_time', 'next_fixture_days']",False
3,-0.44117954824062555,1.4257191914214071,0.7574475648292693,0.003230691983268308,7.033096996176955,6.875717498546593e-06,-0.21742627079293966,145,team_better,"['mean_age', 'total_value', 'extra_time', 'next_fixture_days']",False
4,-1.5981683137751301,1.1956172682705202,0.18598418760849486,0.03250078291351166,10.339143063996044,2.528979124841543e-07,-0.7876243990667597,145,team_better,"['mean_age', 'total_value', 'extra_time', 'next_fixture_days']",False
5,-4.440741344961864,2.6468028415957416,0.10344666388352369,0.13486014883812936,2.9061616223389333,0.028951105525775955,-2.1885280812347756,145,team_better,"['mean_age', 'total_value', 'extra_time', 'next_fixture_days']",False
6,1.0179974952748472,1.3687917707442703,0.46934474838043017,0.14376357778866322,2.945773301903235,0.05064373339897883,0.5016991380421869,145,team_better,"['mean_age', 'total_value', 'extra_time', 'next_fixture_days']",False
1,-17.453781166678354,3.464868420261088,7.116105105933777e-07,0.08382815044419822,18.025749367335436,3.7148044333543914e-16,-8.601737241539404,146,team_better,"['mean_age', 'distance', 'team_home', 'extra_time']",True
2,-1.603589366541578,0.7840953575159746,0.041813437656442874,0.028676155284273253,14.646951479451799,1.0560503709695077e-12,-0.790296053479302,146,team_better,"['mean_age', 'distance', 'team_home', 'extra_time']",True
3,-0.23110254368200894,0.9747443863844171,0.8129357247452191,0.03617093935325111,7.707589073263673,2.006813007117278e-06,-0.1138941377584797,146,team_better,"['mean_age', 'distance', 'team_home', 'extra_time']",False
