stage,2sls_iv,std_error,p_value,r_squared,f_stat,f_p_value,causal_effect,grid_id,instrument,control_vars,significant
1,-0.13262997041021857,0.26343831371875187,0.6149150868017397,0.03886861355034321,26.507615446954688,1.4872630638938327e-19,-0.06536395437338705,77,team_better,"['total_value', 'distance', 'next_fixture_days']",False
2,0.02328612207076352,0.21451986653985133,0.9136400806864802,0.0672806079912166,19.058915766807182,8.061307889295932e-14,0.01147608655765212,77,team_better,"['total_value', 'distance', 'next_fixture_days']",False
3,-0.555872535545995,0.32575050025271735,0.09014407091254738,0.043380669899088065,10.261933502634498,2.5738143478315714e-07,-0.27395035178299343,77,team_better,"['total_value', 'distance', 'next_fixture_days']",True
4,0.4985040125631493,0.30618146648224953,0.10826156510032178,0.2507270515136628,12.712532384912404,9.990758422122264e-08,0.2456774545854651,77,team_better,"['total_value', 'distance', 'next_fixture_days']",False
5,-0.17370605908049447,0.8600409570070008,0.8412154676371761,0.051564724010080054,4.598464213878664,0.004779871091331214,-0.08560746025201202,77,team_better,"['total_value', 'distance', 'next_fixture_days']",False
6,0.09392315736438034,0.5537092790288444,0.867571225381826,0.06516029457498296,5.59149591741975,0.0058428338124905,0.0462880972798348,77,team_better,"['total_value', 'distance', 'next_fixture_days']",False
1,0.751630319196529,0.774075260782123,0.3321228899095332,0.03945104574476188,26.39754913111731,1.7654820344363974e-19,0.37042555116057724,78,team_better,"['total_value', 'team_home', 'extra_time']",False
2,-0.07207977780643818,0.21443173353225076,0.737023933831078,0.051900025975042285,18.865227418843702,1.0824183203416385e-13,-0.035523036710418406,78,team_better,"['total_value', 'team_home', 'extra_time']",False
3,-0.5624187608576358,0.3239843757605666,0.08477380238407876,0.03926930059474487,10.369930594042147,2.1949802219851824e-07,-0.27717652435367685,78,team_better,"['total_value', 'team_home', 'extra_time']",True
4,0.5704371251987872,0.29800125380038733,0.059930379285994345,0.27125211653669445,12.320308490779993,1.534955682345342e-07,0.2811282103815268,78,team_better,"['total_value', 'team_home', 'extra_time']",True
5,-0.31593438677194297,1.040228371527532,0.7633100620521606,0.09816771420473969,5.1887475096678575,0.002450156099521816,-0.15570176769303,78,team_better,"['total_value', 'team_home', 'extra_time']",False
6,0.27695211090692917,0.6716056928612132,0.6858993123958524,0.05775650322102077,6.0820126863725585,0.004089335556737683,0.13649015441187956,78,team_better,"['total_value', 'team_home', 'extra_time']",False
1,0.7272948619327013,0.7616565562624256,0.34020235839565016,0.03861066287018089,26.52501072276085,1.4475138969234886e-19,0.35843232132475283,79,team_better,"['total_value', 'team_home', 'next_fixture_days']",False
2,-0.041826914798036664,0.21252563187971998,0.8441252265629485,0.07297979770875629,18.841192599710084,1.1227810288372445e-13,-0.020613535100568608,79,team_better,"['total_value', 'team_home', 'next_fixture_days']",False
3,-0.5325766399558026,0.3237615152572704,0.10222033255697875,0.04373721553989107,10.525965571838796,1.7448570578253738e-07,-0.2624694485472101,79,team_better,"['total_value', 'team_home', 'next_fixture_days']",False
4,0.5130069791109453,0.307265599411429,0.09973777330300433,0.2493565896390305,12.674039850358376,1.0418364370124847e-07,0.2528249435035193,79,team_better,"['total_value', 'team_home', 'next_fixture_days']",True
5,-0.2860809658246838,1.063448426146653,0.7896469592557817,0.04534186807207352,5.229631758782332,0.0023413615345902073,-0.140989122891476,79,team_better,"['total_value', 'team_home', 'next_fixture_days']",False
6,0.051832669335592885,0.611769975826306,0.9335999053132802,0.06992192031235789,7.058701325166758,0.002102000101706322,0.02554466553090267,79,team_better,"['total_value', 'team_home', 'next_fixture_days']",False
1,-0.4193161507616753,0.19960693089566037,0.03628110637890983,0.032996484996413944,26.523533187374827,1.4508482683366666e-19,-0.20665134480267325,80,team_better,"['total_value', 'extra_time', 'next_fixture_days']",True
2,0.03860532612932603,0.22197873236466492,0.8620629584856989,0.06894180917091353,17.710376600721602,6.350406918927412e-13,0.01902584135306854,80,team_better,"['total_value', 'extra_time', 'next_fixture_days']",False
3,-0.626093731880893,0.3509164351568224,0.0765624626964219,0.047786371345347134,8.854036913821494,2.1086933175153395e-06,-0.3085574248229893,80,team_better,"['total_value', 'extra_time', 'next_fixture_days']",False
4,0.5728435150966231,0.29205007662205384,0.05404639143307871,0.27113079991369526,12.780229931251762,9.281989472559714e-08,0.28231415017326644,80,team_better,"['total_value', 'extra_time', 'next_fixture_days']",True
5,-0.30436408442206897,0.9599005595212194,0.7532433837204782,0.09912484418725465,3.5437684678219945,0.016733829682847524,-0.1499995820366183,80,team_better,"['total_value', 'extra_time', 'next_fixture_days']",False
6,0.08173832639454423,0.46769145067483975,0.8635976865620774,0.06991588679891414,3.137489736737048,0.0462228187543565,0.04028305382625926,80,team_better,"['total_value', 'extra_time', 'next_fixture_days']",False
1,0.8317977259774467,0.7469864068326159,0.2661346456199171,0.010163590742938378,22.5541374285865,7.662106623696953e-17,0.4099344095494723,81,team_better,"['distance', 'team_home', 'extra_time']",False
2,0.18239120965719335,0.17682918838936976,0.30325091559478884,0.01713620494446011,17.49149667645448,8.90147325628737e-13,0.08988775816858008,81,team_better,"['distance', 'team_home', 'extra_time']",False
3,-0.21089822935010258,0.2487328130806439,0.39794613672149415,0.01006523115722513,9.702683649695134,5.898623624822767e-07,-0.10393685679059864,81,team_better,"['distance', 'team_home', 'extra_time']",False
4,0.8409199038640547,0.2504157531963333,0.0013065519837122393,0.19217052549562763,11.64950539460752,3.239481883021372e-07,0.4144300873915313,81,team_better,"['distance', 'team_home', 'extra_time']",True
5,0.16711260101341113,0.42705859595002854,0.6981611266301935,0.17635704188787482,3.745559484472209,0.013090356817585878,0.08235800998879707,81,team_better,"['distance', 'team_home', 'extra_time']",False
6,0.4922553987609382,0.5434263607073715,0.3793431500960649,0.06034816696135292,6.213165887987795,0.003727185454043899,0.24259795372904952,81,team_better,"['distance', 'team_home', 'extra_time']",False
1,0.8112626496339149,0.7313374830000327,0.2679617055123293,0.010104461326262415,22.572642321008992,7.438343545898434e-17,0.39981411932380834,82,team_better,"['distance', 'team_home', 'next_fixture_days']",False
2,0.215936960523515,0.1762133555566299,0.22148148574392287,0.03485688540934739,17.422405599584593,9.904311365895586e-13,0.10642009186559732,82,team_better,"['distance', 'team_home', 'next_fixture_days']",False
3,-0.18262156917889494,0.2525065476568161,0.4707421273446558,0.012588658113975693,9.944193552415705,4.118872888357178e-07,-0.09000128612323019,82,team_better,"['distance', 'team_home', 'next_fixture_days']",False
4,0.7996038931339363,0.2579351536651792,0.002844226809501624,0.15027544096452017,11.5171786509964,3.760886489203761e-07,0.3940683408579156,82,team_better,"['distance', 'team_home', 'next_fixture_days']",True
5,0.20617636450561086,0.44509426659747353,0.646342126373086,0.12839356937386026,3.854627101315756,0.01147630791529654,0.10160978277182257,82,team_better,"['distance', 'team_home', 'next_fixture_days']",False
6,0.42563236151874106,0.5222803000164811,0.42785119962851725,0.06510867182898494,6.756139885066101,0.0025677752284109343,0.20976415942866322,82,team_better,"['distance', 'team_home', 'next_fixture_days']",False
1,0.0642570427719868,0.23204767228806697,0.7819874051508767,0.007279870154742074,22.62375897983731,6.853751921724285e-17,0.03166776256472214,83,team_better,"['distance', 'extra_time', 'next_fixture_days']",False
2,0.2889655741041754,0.17502644158275085,0.099904794565054,0.02888081694402911,17.369267033816435,1.0752370501236068e-12,0.1424107427816306,83,team_better,"['distance', 'extra_time', 'next_fixture_days']",True
3,-0.20502689880304967,0.25497288886912794,0.42269528091699426,0.01404158501793229,9.621446495199347,6.658294270527146e-07,-0.10104329223047964,83,team_better,"['distance', 'extra_time', 'next_fixture_days']",False
4,0.8238243308547091,0.24910755707598087,0.0015280607253004333,0.19140875784419542,11.915755960609266,2.4037774158306783e-07,0.4060048856764619,83,team_better,"['distance', 'extra_time', 'next_fixture_days']",True
5,0.14942732614210563,0.45528800762035426,0.7448954277138521,0.08986210036817766,3.845750922783323,0.011599523070417603,0.07364218583386867,83,team_better,"['distance', 'extra_time', 'next_fixture_days']",False
6,0.4234040337345429,0.5743907755239891,0.4724132937773593,0.055837599205319055,4.71339287400057,0.011553606123230621,0.20866597388911445,83,team_better,"['distance', 'extra_time', 'next_fixture_days']",False
1,0.7863011128596701,0.736893979944569,0.2865827691594876,0.007106015842447966,22.67929248627421,6.270808444443783e-17,0.387512339071917,84,team_better,"['team_home', 'extra_time', 'next_fixture_days']",False
2,0.23438081385777157,0.1742904369014186,0.1798275899050703,0.033280730756139576,17.250779953565317,1.2916118586572323e-12,0.11550976582149912,84,team_better,"['team_home', 'extra_time', 'next_fixture_days']",False
3,-0.19187215894512222,0.25315207438939713,0.4497653801470284,0.014954471644024525,9.836685494779775,4.832014749572799e-07,-0.09456024912032979,84,team_better,"['team_home', 'extra_time', 'next_fixture_days']",False
4,0.8411568354544292,0.24780576576560645,0.0011676351747225012,0.18719619861663994,11.837301616964371,2.6239921022803955e-07,0.41454685425512144,84,team_better,"['team_home', 'extra_time', 'next_fixture_days']",True
